iter	Passed	Remaining
405	5888	8614
406	5901	8599
407	5917	8585
408	5933	8573
409	5947	8559
410	5961	8543
411	5976	8529
412	5989	8513
413	6003	8497
414	6017	8482
415	6032	8468
416	6047	8454
417	6061	8439
418	6076	8425
419	6089	8408
420	6103	8394
421	6116	8377
422	6131	8363
423	6144	8347
424	6158	8332
425	6173	8318
426	6187	8303
427	6202	8289
428	6219	8278
429	6236	8267
430	6251	8253
431	6265	8237
432	6279	8222
433	6293	8207
434	6308	8193
435	6322	8178
436	6337	8165
437	6351	8150
438	6367	8136
439	6382	8123
440	6397	8108
441	6412	8095
442	6426	8080
443	6441	8066
444	6455	8051
445	6471	8038
446	6485	8022
447	6499	8008
448	6513	7993
449	6527	7977
450	6540	7961
451	6555	7947
452	6569	7933
453	6583	7917
454	6597	7902
455	6611	7887
456	6625	7872
457	6639	7856
458	6654	7842
459	6667	7826
460	6683	7813
461	6696	7798
462	6710	7782
463	6724	7767
464	6738	7752
465	6776	7765
466	6821	7785
467	6838	7773
468	6864	7771
469	6878	7756
470	6892	7741
471	6910	7729
472	6925	7716
473	6942	7703
474	6958	7690
475	6975	7678
476	6992	7666
477	7008	7654
478	7023	7638
479	7040	7626
480	7054	7611
481	7068	7596
482	7081	7580
483	7095	7565
484	7110	7550
485	7124	7534
486	7138	7519
487	7152	7504
488	7166	7488
489	7181	7474
490	7194	7458
491	7211	7445
492	7225	7430
493	7239	7415
494	7253	7400
495	7267	7384
496	7280	7368
497	7295	7354
498	7308	7338
499	7322	7322
500	7337	7308
501	7351	7292
502	7366	7278
503	7380	7263
504	7396	7250
505	7410	7235
506	7425	7220
507	7438	7204
508	7453	7189
509	7467	7174
510	7481	7159
511	7495	7144
512	7510	7130
513	7524	7114
514	7537	7098
515	7552	7083
516	7566	7068
517	7580	7053
518	7595	7039
519	7610	7024
520	7623	7008
521	7638	6995
522	7653	6979
523	7666	6964
524	7680	6948
525	7694	6933
526	7708	6918
527	7722	6903
528	7737	6888
529	7750	6873
530	7765	6858
531	7779	6843
532	7793	6828
533	7807	6813
534	7820	6797
535	7833	6781
536	7847	6766
537	7861	6751
538	7876	6737
539	7891	6722
540	7905	6707
541	7919	6692
542	7932	6676
543	7946	6661
544	7959	6645
545	7973	6629
546	7987	6614
547	8002	6600
548	8016	6585
549	8031	6570
550	8044	6555
551	8061	6543
552	8077	6529
553	8091	6513
554	8105	6499
555	8119	6483
556	8133	6468
557	8147	6453
558	8161	6438
559	8174	6422
560	8188	6407
561	8203	6393
562	8217	6378
563	8231	6363
564	8246	6349
565	8261	6334
566	8275	6319
567	8290	6305
568	8304	6290
569	8318	6275
570	8332	6260
571	8346	6245
572	8360	6230
573	8374	6215
574	8388	6199
575	8402	6184
576	8415	6169
577	8429	6154
578	8444	6139
579	8458	6124
580	8472	6110
581	8486	6095
582	8500	6080
583	8514	6065
584	8528	6050
585	8541	6034
586	8555	6019
587	8570	6004
588	8584	5990
589	8598	5975
590	8612	5959
591	8626	5945
592	8640	5930
593	8655	5915
594	8668	5900
595	8683	5885
596	8696	5870
597	8711	5856
598	8725	5841
599	8739	5826
600	8753	5811
601	8767	5796
602	8781	5781
603	8795	5766
604	8810	5752
605	8824	5737
606	8838	5722
607	8852	5707
608	8866	5692
609	8879	5677
610	8895	5663
611	8909	5648
612	8923	5633
613	8936	5618
614	8950	5603
615	8964	5588
616	8979	5573
617	8993	5559
618	9007	5544
619	9021	5529
620	9034	5513
621	9049	5499
622	9063	5484
623	9078	5470
624	9092	5455
625	9106	5440
626	9121	5426
627	9136	5411
628	9149	5396
629	9163	5381
630	9179	5368
631	9193	5353
632	9208	5338
633	9222	5323
634	9236	5309
635	9250	5294
636	9265	5280
637	9279	5265
638	9294	5250
639	9309	5236
640	9324	5222
641	9338	5207
642	9353	5193
643	9367	5178
644	9382	5163
645	9397	5149
646	9411	5134
647	9425	5119
648	9438	5104
649	9453	5090
650	9466	5074
651	9480	5060
652	9494	5045
653	9507	5030
654	9522	5015
655	9536	5000
656	9550	4985
657	9563	4970
658	9578	4956
659	9591	4941
660	9605	4926
661	9618	4911
662	9633	4896
663	9646	4881
664	9660	4866
665	9674	4851
666	9687	4836
667	9702	4822
668	9715	4806
669	9728	4791
670	9742	4776
671	9756	4761
672	9770	4747
673	9784	4732
674	9798	4717
675	9812	4703
676	9827	4688
677	9840	4673
678	9855	4659
679	9870	4644
680	9884	4630
681	9898	4615
682	9912	4600
683	9926	4585
684	9939	4570
685	9955	4556
686	9969	4542
687	9983	4527
688	9997	4512
689	10011	4498
690	10025	4483
691	10040	4468
692	10054	4454
693	10069	4439
694	10083	4424
695	10097	4410
696	10110	4395
697	10125	4380
698	10139	4366
699	10153	4351
700	10167	4336
701	10182	4322
702	10196	4307
703	10210	4292
704	10224	4278
705	10238	4263
706	10253	4249
707	10267	4234
708	10280	4219
709	10294	4204
710	10308	4190
711	10323	4175
712	10338	4161
713	10354	4147
714	10368	4133
715	10382	4118
716	10396	4103
717	10411	4089
718	10425	4074
719	10440	4060
720	10453	4045
721	10468	4030
722	10481	4015
723	10495	4001
724	10510	3986
725	10524	3972
726	10538	3957
727	10551	3942
728	10565	3927
729	10579	3912
730	10593	3898
731	10608	3883
732	10622	3869
733	10636	3854
734	10651	3840
735	10665	3825
736	10679	3811
737	10693	3796
738	10707	3781
739	10720	3766
740	10734	3751
741	10748	3737
742	10761	3722
743	10775	3707
744	10790	3693
745	10804	3678
746	10819	3664
747	10833	3649
748	10847	3635
749	10862	3620
750	10876	3606
751	10890	3591
752	10904	3576
753	10918	3562
754	10933	3548
755	10947	3533
756	10962	3518
757	10976	3504
758	10990	3489
759	11004	3475
760	11018	3460
761	11032	3445
762	11044	3430
763	11058	3415
764	11071	3401
765	11085	3386
766	11099	3371
767	11113	3357
768	11127	3342
769	11142	3328
770	11156	3313
771	11169	3298
772	11183	3284
773	11196	3269
774	11211	3254
775	11224	3240
776	11238	3225
777	11252	3210
778	11266	3196
779	11280	3181
780	11294	3167
781	11307	3152
782	11321	3137
783	11335	3122
784	11349	3108
785	11364	3094
786	11378	3079
787	11394	3065
788	11408	3050
789	11423	3036
790	11438	3022
791	11452	3007
792	11466	2993
793	11480	2978
794	11494	2963
795	11508	2949
796	11521	2934
797	11535	2919
798	11550	2905
799	11563	2890
800	11578	2876
801	11592	2861
802	11606	2847
803	11620	2832
804	11635	2818
805	11649	2803
806	11663	2789
807	11677	2774
808	11690	2760
809	11704	2745
810	11717	2730
811	11731	2716
812	11744	2701
813	11760	2687
814	11773	2672
815	11787	2658
816	11801	2643
817	11817	2629
818	11833	2615
819	11849	2601
820	11864	2586
821	11879	2572
822	11894	2558
823	11908	2543
824	11922	2529
825	11936	2514
826	11950	2499
827	11964	2485
828	11978	2470
829	11992	2456
830	12006	2441
831	12020	2427
832	12035	2412
833	12049	2398
834	12062	2383
835	12076	2369
836	12090	2354
837	12104	2340
838	12118	2325
839	12133	2311
840	12146	2296
841	12162	2282
842	12176	2267
843	12190	2253
844	12204	2238
845	12218	2224
846	12231	2209
847	12245	2195
848	12259	2180
849	12273	2165
850	12287	2151
851	12301	2136
852	12316	2122
853	12331	2108
